pair,correlation,hedge_ratio,eg_pvalue,johansen_pvalue
SPY/IVV,0.9785828388851496,0.25190184327104703,2.303974870874e-17,2.8295120638892693e-14
SPY/GLD,0.8875927119078065,1.11724409576333,0.001610963786656962,0.029763436121239203
SPY/SLV,0.8580889099664913,0.11112525820148773,0.019582973693177064,0.06239463936721419
IVV/GLD,0.8653998930556671,4.23172490925458,0.005668809933817676,0.046900316247733755
IVV/SLV,0.8359773799802864,0.4205728856668731,0.024245394696047924,0.14703590617472356
QQQ/XLK,0.9822526587710773,0.493870361308683,2.341203766398895e-30,2.5786562380676e-29
GLD/SLV,0.9672853976370777,0.09951780416298514,2.2742074372059265e-28,4.2987496026311323e-11
